genre	dataset	year	sid	score	sentence1	sentence2
main-captions	MSRvid	2012test	0001	5.000	Bir uçak kalkıyor.	Bir hava uçağı kalkıyor.
main-captions	MSRvid	2012test	0004	3.800	Bir adam büyük bir flüt çalıyor.	Bir adam flüt çalıyor.
main-captions	MSRvid	2012test	0005	3.800	Bir adam pizzanın üzerine rendelenmiş peynir seriyor.	Bir adam pişmemiş bir pizzanın üzerine rendelenmiş peynir seriyor.
main-captions	MSRvid	2012test	0006	2.600	Üç adam satranç oynuyor.	İki adam satranç oynuyor.
main-captions	MSRvid	2012test	0009	4.250	Bir adam çello çalıyor.	Oturan bir adam çello çalıyor.
main-captions	MSRvid	2012test	0011	4.250	Bazı erkekler kavga ediyor.	İki adam kavga ediyor.
main-captions	MSRvid	2012test	0012	0.500	Bir adam sigara içiyor.	Bir adam paten yapıyor.
main-captions	MSRvid	2012test	0013	1.600	Adam piyano çalıyor.	Adam gitar çalıyor.
main-captions	MSRvid	2012test	0014	2.200	Bir adam bir gitar çalıyor ve şarkı söylüyor.	Bir kadın akustik gitar çalıyor ve şarkı söylüyor.
main-captions	MSRvid	2012test	0016	5.000	Bir kişi tavana bir kedi atıyor.	Bir kişi tavana bir kedi atar.
main-captions	MSRvid	2012test	0017	4.200	Adam diğer adama sopayla vurdu.	Adam diğer adama sopayla şaplak attı.
main-captions	MSRvid	2012test	0018	4.600	Bir kadın bir bebek kangurunu alır ve tutar.	Bir kadın kucağında bir bebek kanguru tutar.
main-captions	MSRvid	2012test	0019	3.867	Bir adam flüt çalıyor.	Bir adam bambu flüt çalıyor.
main-captions	MSRvid	2012test	0020	4.667	Bir kişi bir kağıt parçasını katlıyor.	Birisi bir kağıt parçasını katlıyor.
main-captions	MSRvid	2012test	0021	1.667	Yolda bir adam koşuyor.	Bir panda köpeği yolda koşuyor.
main-captions	MSRvid	2012test	0022	3.750	Bir köpek sırtından pastırmayı çıkarmaya çalışıyor.	Bir köpek sırtındaki pastırmayı yemeye çalışıyor.
main-captions	MSRvid	2012test	0025	5.000	Kutup ayısı karda kayıyor.	Karda bir kutup ayısı kayıyor.
main-captions	MSRvid	2012test	0026	0.500	Bir kadın yazıyor.	Bir kadın yüzüyor.
main-captions	MSRvid	2012test	0028	3.800	Bir kedi bebeğin yüzüne sürtünüyor.	Bir kedi bir bebeğe sürtünüyor.
main-captions	MSRvid	2012test	0029	5.000	Adam ata biniyor.	Bir adam ata biniyor.
main-captions	MSRvid	2012test	0030	3.200	Bir adam bir tencereye yağ döküyor.	Bir adam bir tencereye şarap döküyor.
main-captions	MSRvid	2012test	0031	2.800	Bir adam gitar çalıyor.	Bir kız gitar çalıyor.
main-captions	MSRvid	2012test	0032	4.600	Bir panda kaydıraktan aşağı kayıyor.	Bir panda kaydıraktan aşağı kayar.
main-captions	MSRvid	2012test	0034	3.000	Bir kadın bir şeyler yiyor.	Bir kadın et yiyor.
main-captions	MSRvid	2012test	0035	5.000	Bir kadın patatesi soyar.	Bir kadın patatesi soyuyor.
main-captions	MSRvid	2012test	0038	4.800	Çocuk bisikletinden düştü.	Bir çocuk bisikletinden düşüyor.
main-captions	MSRvid	2012test	0040	5.000	Kadın flüt çalıyor.	Bir kadın flüt çalıyor.
main-captions	MSRvid	2012test	0042	4.200	Bir kartaldan tavşan koşuyor.	Bir kartaldan bir tavşan koşuyor.
