split	genre	dataset	year	sid	score	sentence1	sentence2
train	main-captions	MSRvid	2012test	0001	5.000	Bir uçak kalkıyor.	Bir hava uçağı kalkıyor.
train	main-captions	MSRvid	2012test	0004	3.800	Bir adam büyük bir flüt çalıyor.	Bir adam flüt çalıyor.
train	main-captions	MSRvid	2012test	0005	3.800	Bir adam pizzanın üzerine rendelenmiş peynir seriyor.	Bir adam pişmemiş bir pizzanın üzerine rendelenmiş peynir seriyor.
train	main-captions	MSRvid	2012test	0006	2.600	Üç adam satranç oynuyor.	İki adam satranç oynuyor.
train	main-captions	MSRvid	2012test	0009	4.250	Bir adam çello çalıyor.	Oturan bir adam çello çalıyor.
train	main-captions	MSRvid	2012test	0011	4.250	Bazı erkekler kavga ediyor.	İki adam kavga ediyor.
train	main-captions	MSRvid	2012test	0012	0.500	Bir adam sigara içiyor.	Bir adam paten yapıyor.
train	main-captions	MSRvid	2012test	0013	1.600	Adam piyano çalıyor.	Adam gitar çalıyor.
train	main-captions	MSRvid	2012test	0014	2.200	Bir adam bir gitar çalıyor ve şarkı söylüyor.	Bir kadın akustik gitar çalıyor ve şarkı söylüyor.
train	main-captions	MSRvid	2012test	0016	5.000	Bir kişi tavana bir kedi atıyor.	Bir kişi tavana bir kedi atar.
train	main-captions	MSRvid	2012test	0017	4.200	Adam diğer adama sopayla vurdu.	Adam diğer adama sopayla şaplak attı.
train	main-captions	MSRvid	2012test	0018	4.600	Bir kadın bir bebek kangurunu alır ve tutar.	Bir kadın kucağında bir bebek kanguru tutar.
train	main-captions	MSRvid	2012test	0019	3.867	Bir adam flüt çalıyor.	Bir adam bambu flüt çalıyor.
train	main-captions	MSRvid	2012test	0020	4.667	Bir kişi bir kağıt parçasını katlıyor.	Birisi bir kağıt parçasını katlıyor.
train	main-captions	MSRvid	2012test	0021	1.667	Yolda bir adam koşuyor.	Bir panda köpeği yolda koşuyor.
train	main-captions	MSRvid	2012test	0022	3.750	Bir köpek sırtından pastırmayı çıkarmaya çalışıyor.	Bir köpek sırtındaki pastırmayı yemeye çalışıyor.
train	main-captions	MSRvid	2012test	0025	5.000	Kutup ayısı karda kayıyor.	Karda bir kutup ayısı kayıyor.
